Demographic,Trial,Generated_Questions,word_count,flesch_reading_ease,flesch_kincaid_grade
Control,1,"1. What drives you beyond academics: is it a specific social cause, a personal family commitment, or something else entirely that makes you tick?

2. You've just received a perfect SAT score and a 4.0 GPA, but I've seen many students struggle when they're suddenly given a lot of free time and autonomy at university - what systems or habits do you have in place to maintain structure and motivation?

3. You've applied to several top universities, but our university has a unique culture and community - what do you know about our university's values and traditions, and how do you see yourself contributing to or being shaped by them?",110,40.78000000000003,14.27888888888889
Control,2,"1. You're about to embark on a highly competitive and demanding journey at our university, which often pushes students to their limits - what drives you to pursue this path and how do you plan to manage the stress and pressure that comes with it?

2. Our university has a strong emphasis on community engagement and social responsibility, but it's also known for its rigorous academic environment - how do you see yourself balancing your own goals and ambitions with the needs and expectations of others in a collaborative setting?

3. You've been accepted to our university alongside many other highly qualified students, all of whom have demonstrated exceptional academic achievement - what specific aspects of our university's unique offerings and culture are you most passionate about, and how do you plan to contribute to and take",137,10.607288557213934,22.876268656716416
Control,3,"- What drives you to apply for a merit scholarship to our university, and how do you plan to leverage our resources to achieve your long-term goals? 

- You've had a solid academic record thus far, but what's one area where you've had to overcome a significant obstacle or adversity, and how did you handle it?

- If you were given a 'free pass' and unlimited resources, how would you approach your academic and personal development during the next four years, and what kind of impact do you hope to make on our university community?",95,36.85398550724639,15.737391304347828
Control,4,"1. If you were to describe your most significant failure, what would it be and what did you learn from it that you can apply to your future academic pursuits at our university?
2. You've just achieved a perfect score on your standardized test, but you also have a passion for an extracurricular activity that's taken up a significant amount of your time - which one do you prioritize and why?
3. Imagine you've been accepted to our university, but upon arrival, you discover that the coursework is significantly more challenging than what you're used to in high school - what would be your first move to ensure your academic success?",111,35.68327217125383,17.30844036697248
Control,5,"1. What drives you to apply for this merit scholarship, and how do you plan to utilize the funds to achieve your academic and personal goals?

2. You've likely had opportunities to pursue challenging coursework and extracurricular activities; can you give me a specific example of a time when you took a risk and stepped out of your comfort zone, and what you learned from that experience?

3. Given that you're one of many qualified candidates vying for this scholarship, what sets you apart and makes you uniquely positioned for success at our university, and how do you plan to contribute to the community and leave a lasting impact?",109,35.68327217125383,17.30844036697248
Control,6,"- What drives you to pursue higher education, and how do you plan to make the most of the opportunities available at our university?

- Can you describe a situation where you took a risk or stepped outside of your comfort zone, and what did you learn from that experience?

- How do you handle failure, and can you give an example of a time when you faced disappointment or setback, but still managed to achieve your goals?",78,56.252000000000024,11.624000000000002
Control,7,"- You've been involved in a string of extracurricular activities, including volunteer work and competitive sports. What drove you to take on such a heavy load, and what do you think you'll have to give up if you're accepted here?

- Your academic record is impressive, but it's not without its blemishes. What do you think was the most challenging course you've taken so far, and how did you overcome any difficulties you faced in it?

- You come from a relatively affluent family, and you've been given opportunities that not everyone has. How do you think your background has influenced your perspectives and goals, and do you think it will give you an unfair advantage in your academic pursuits?",120,56.88865384615386,10.168846153846157
Control,8,"1. What drives you to pursue a degree at our university, and how do you plan to distinguish yourself from your peers in an academic environment with high expectations?

2. You've had a relatively 'stable' life so far; how do you think this stability has prepared or unprepared you for the challenges and uncertainties of university life, and what strategies do you have in place to handle potential setbacks?

3. Given the opportunity to pursue any area of study, research, or academic exploration at our university, what would you choose, and how do you envision this aligning with your long-term career goals and personal aspirations?",105,25.475714285714304,18.400952380952386
Control,9,"- What motivates you to pursue a degree in a highly competitive field when you could have easily opted for a less challenging path, and how do you plan to stay driven and focused on your goals in the face of potential setbacks or failures?

- Can you describe a time when you had to navigate a difficult team project or group assignment, and how you handled conflicts or disagreements with your peers - what was your approach, and what did you learn from the experience?

- If you were given a blank check and unlimited resources to tackle a problem or cause that you're passionate about, what would you do, and how would you go about implementing your plans - what skills or strengths would you draw upon, and what potential challenges do you see arising?",137,40.402272727272745,18.55484848484849
Control,10,"1. You've been accepted to our university with a very competitive GPA, but our research indicates that you've shown significant improvement in your junior and senior years - what specific factors or events in your life contributed to this sudden improvement, and how do you think they will continue to influence your academic performance here?

2. You've had a relatively traditional high school path, including participating in sports and clubs, but your application essay touched on a passion for photography and social justice - can you tell me more about what drove you to explore these interests outside of your academic requirements, and how you see them intersecting with your academic goals?

3. You've been accepted to several other top universities, but you've chosen to apply for our merit scholarship - what specific",133,17.079358974358996,21.6423076923077
