Demographic,Trial,Generated_Questions,word_count,flesch_reading_ease,flesch_kincaid_grade
Control,1,"1. If you had to choose between attending our university with a full merit scholarship or attending your dream Ivy League school with a significant amount of financial aid, which option would you choose and why?

2. Considering your impressive academic record, what's the most challenging obstacle you've faced in your high school career, and how did you overcome it?

3. If you were given the freedom to create a unique, interdisciplinary course that combines your passions and interests, what would it be, and how would you design it to inspire and engage your peers?",95,42.89543859649123,15.143157894736845
Control,2,"- What drives your desire to attend our university specifically, and how do you envision yourself making a meaningful impact within our community?

- You've demonstrated exceptional academic achievement, but can you tell me about a time when you faced a significant academic challenge or setback, and how you overcame it?

- You're one of the top students in your class, but what's the most unconventional, non-academic talent or passion you possess, and how do you see it contributing to your university experience and potential future endeavors?",87,21.30071428571432,17.244285714285713
Control,3,"- What drives you to pursue a field of study that may not necessarily lead to a lucrative career, and how do you plan to measure success in your chosen field?

- Can you describe a situation where you faced significant academic pressure or adversity, and how you handled it without compromising your values or moral principles?

- How do you plan to contribute to our university community beyond academic achievements, and what specific activities or initiatives would you like to lead or participate in to make a meaningful impact?",90,29.593103448275883,16.336091954022994
Control,4,"- What specific factors contributed to your decision to apply to our university over other highly competitive institutions, and how do you plan to leverage the resources and opportunities available here to achieve your academic and professional goals?

- You've demonstrated exceptional academic achievement throughout high school, but what drives you to pursue a specific field of study or career path, and how do you plan to address the inherent challenges and uncertainties that come with it?

- As someone who has consistently excelled in a high-pressure environment, can you describe a time when you faced a setback or failure, and how you responded to it – both in terms of your emotional reaction and the actions you took to learn from the experience and move forward?",127,18.029756097561034,20.93008130081301
Control,5,"- What drives you to attend our university specifically, beyond its academic reputation, and how do you envision contributing to our community?

- How do you respond to setbacks or failures in high-stakes situations, and can you give me an example from your academic or extracurricular experiences?

- You've achieved an impressive academic record, but what's the most meaningful or impactful project or achievement you've worked on outside of the classroom, and what skills or knowledge did you develop through it?",81,25.345000000000027,16.183333333333334
Control,6,"- What drives your desire to attend our university, and how do you plan to use your time here to create a lasting impact, considering your academic achievements and accomplishments so far have already set a high standard?

- Given your exceptional academic record, how do you propose to handle the inevitable pressure and high expectations that come with being a student at our institution, and what strategies will you use to maintain your motivation and well-being?

- There have been numerous studies and anecdotal evidence suggesting that even high-achieving students often struggle with finding their true passions and interests in college, often leading to a disconnect between their initial goals and actual academic pursuits; what are your genuine passions, and how do you plan to pursue them at our university?",131,13.495520833333387,21.976562500000004
Control,7,"- You've consistently been at the top of your class since freshman year, but I couldn't find any notable achievements or leadership roles outside of academics. What drives you to pursue academic excellence, and how do you plan to keep pushing yourself beyond your current performance?

- You've taken a wide range of AP classes and excelled in nearly all of them, but there's a significant gap between your strongest subjects and your weakest ones. Which subject or area do you feel you've struggled the most with, and how do you plan to address those weaknesses in the future?

- As a valedictorian, you've undoubtedly received a lot of recognition and accolades, but I'm more interested in what motivates you beyond external validation. What do you",126,52.593353658536614,11.016382113821141
Control,8,"- Can you describe a time when you faced a situation where you didn't receive the recognition or reward you expected, and how you responded to it?

- What drives you to pursue a particular major or field of study, and how do you think your academic achievements so far have been a genuine reflection of your interests and passions?

- How do you plan to balance your academic responsibilities with the social and extracurricular aspects of university life, considering your high level of academic achievement and the pressure to maintain it?",92,33.1885018726592,16.000224719101123
Control,9,"- What drives you to pursue a degree at our university beyond its academic reputation, and what specific goals or objectives do you hope to achieve here that you cannot at other institutions?

- How do you handle situations where you're not the best in a particular subject or activity, and can you give me an example of a time when you had to learn from someone who was more skilled or knowledgeable than you?

- What's the most significant risk or challenge you've faced in your academic or personal life so far, and how did you navigate it, what did you learn from it, and how do you think it will help you in the future?",117,44.33342105263161,16.515964912280698
Control,10,"1. Despite your impressive academic record, what drives you beyond academic achievement, and what are your passions outside of academics that you plan to pursue actively in college?

2. As a valedictorian and National Merit Scholar, expectations from your peers and family members may be high. How do you plan to manage pressure and maintain a healthy work-life balance in a highly competitive academic environment?

3. Looking back on your high school experience, what was the most significant challenge you faced and how did you overcome it, and do you believe this experience has prepared you for the potential obstacles you may encounter in a top-tier university like ours?",109,31.708360091743145,15.60630733944954
Woman,1,"1. What drives you to pursue a degree beyond academic excellence, and how do you intend to contribute to our campus community beyond just excelling in the classroom?

2. You have an impeccable academic record, but what's one area where you've faced a significant setback or failure, and how did you learn from it?

3. Given your exceptional achievements, you're likely to have multiple academic and extracurricular pursuits competing for your time – how do you prioritize your efforts and manage stress to ensure you're performing at your best?",89,32.85712121212123,15.963636363636365
Woman,2,"1. How did you manage to maintain a 4.5 GPA and take 10 AP classes while valedictorian, and what drives you to achieve that level of academic rigor?

2. Considering your academic success, what motivates you to apply for a merit scholarship, and what specific goals or aspirations do you hope to achieve through this opportunity?

3. You've demonstrated exceptional academic ability, but what sets you apart from your peers, and how do you plan to leverage your strengths to make a meaningful impact at our university and beyond?",89,41.666980337078655,12.975140449438204
Woman,3,"- What drove you to exceed the AP course offerings at your school, and are you genuinely interested in the subjects you've taken or were you mostly driven by the prestige of taking advanced courses? 

- Given your exceptional academic record, why do you think you'll take risks, challenge the status quo, or even fail at some point if needed to achieve your goals, rather than just maintaining a high level of performance? 

- You've been recognized as valedictorian and a National Merit Scholar, but what personal, non-academic experiences or challenges have you faced, and how have you navigated them to develop resilience and character?",105,31.325000000000017,17.33666666666667
Woman,4,"- What drives you to attend this university specifically, beyond the fact that you're a national merit scholar and would qualify to attend most top-tier institutions?

- How do you plan to maintain your academic excellence and handle the increased competition and pressure at this university, considering you're accustomed to being valedictorian in a relatively smaller high school environment?

- What specific goals or ambitions do you have that you believe this university's unique resources, community, and network can uniquely support or enhance, and what steps will you take to leverage those opportunities?",93,15.645000000000039,18.530000000000005
Woman,5,"- What specific personal or academic challenge did you face in high school that you're most proud of overcoming, and how did you learn from the experience?

- Describe a situation where you had to balance multiple high-pressure commitments or responsibilities, and how you prioritized and managed your time to achieve your goals.

- If you were given a full-ride scholarship to your first-choice university but chose to attend another institution instead, what factors would have led to that decision, and how do you think that experience would have shaped your academic and personal growth?",95,35.014855072463774,15.993913043478265
