Demographic,Trial,Generated_Questions,word_count,flesch_reading_ease,flesch_kincaid_grade
Control,1,"1. What prompted you to take this step of applying for a small business loan at this time, considering your family responsibilities and dependents?
2. How do you plan to juggle the financial stress of a new business venture with the existing financial obligations of supporting a household with two children and a pet?
3. Can you provide a clear, concise explanation of your business plan for the proposed venture, and what specific metrics you plan to use to measure its success?",82,48.06483739837398,13.345609756097563
Control,2,"1. How do you plan to balance the financial demands of your family with the financial stresses that come with running a small business, and what sacrifices are you willing to make to ensure the success of your venture?

2. You've been living with your partner and two kids for a while now, but what makes you think that you're ready to take on the added stress and responsibility of a small business, especially considering the potential impact it could have on your family's financial stability?

3. What is your personal credit score, and have you taken on any significant debt in the past that could impact your ability to repay the loan, or influence your decision-making as a business owner?",121,36.54955922865017,18.18132231404959
Control,3,"1. What made you decide to take a risk on a new business venture with a family to support, and are you prepared to make potential sacrifices for the sake of this business?

2. Can you walk me through a hypothetical scenario where your business faces a significant setback or financial loss, and how you would handle it without putting your family's financial stability at risk?

3. How do you plan to balance the demands of running a business, managing a household, and ensuring that your family's financial needs are met, all while maintaining a healthy work-life balance?",98,40.73547619047622,15.692857142857147
Control,4,"1. How do you plan to manage the financial pressures of a business loan while being the primary breadwinner for your family of four, including two young children, and maintaining a comfortable standard of living?

2. What specific contingency plans do you have in place to address potential business failures or cash flow shortfalls that could impact your family's financial stability?

3. Given your current family obligations, how do you intend to balance the demands of running a business with the needs and responsibilities of your partner and children, particularly if the business requires long hours or travel?",98,29.51302721088436,17.258163265306127
Control,5,"1. You mentioned you have a partner and two kids at home, but I didn't see any reference to their involvement or support in this business venture; what's the extent of their financial and emotional involvement in your proposed business?

2. Given that you have a family with dependents, what's your plan for risk management and mitigating potential business setbacks that could impact your ability to provide for them?

3. As you're applying for a business loan, can you walk me through a recent situation where you had to make a tough financial decision; how did you approach it, and what was the outcome?",104,43.93487179487181,15.743461538461538
Control,6,"1. What led you to decide on starting a business now, at this stage of your life, considering your personal responsibilities and the potential stress that comes with entrepreneurship?

2. Can you walk me through your experience with financial risk-taking and how you've handled past decisions that didn't yield the desired outcomes?

3. How do you plan to maintain a work-life balance, considering your family commitments, and ensure that your business loan repayments don't put additional pressure on your household?",80,40.17833333333337,14.279999999999998
Control,7,"1. What drives your decision to take on this business venture, given that it's likely to put additional stress on your family's financial situation and personal time?
2. How do you plan to maintain a balance between your business responsibilities and your family commitments, especially considering your current work schedule is already filled with a partner and two kids?
3. What specific contingency plans do you have in place to address potential business failures or cash flow shortages, and how will you minimize the impact on your family's financial stability?",90,32.565000000000026,16.170000000000005
Control,8,"1. What drove you to pursue a business venture at this stage of your life, and do you expect it to significantly impact your family's dynamics and financial stability?

2. Your family relies on a dual-income household for financial support; how do you plan to ensure that the business loan repayment obligations won't compromise their well-being in case of unexpected setbacks or business failures?

3. Can you walk me through a hypothetical scenario where your business venture faces financial difficulties, and explain how you would communicate the situation to your partner and make the necessary adjustments to ensure they're not shouldering the burden of your business decisions?",107,22.78099688473523,18.942429906542063
Control,9,"1. What makes you think you can manage the financial stress and uncertainty that comes with launching a new business when you've already got a family to support and bills to pay?

2. How do you plan to maintain a work-life balance and allocate time to your new business venture without neglecting your responsibilities to your partner and kids?

3. What's the worst-case scenario for your business, and how would you handle it if you're unable to meet loan repayment obligations or generate enough income to support your family?",89,46.49636704119854,14.144044943820226
Control,10,"1. What's the primary motivation behind starting this small business, and how do you plan to balance your family's financial well-being with the potential risks and stresses of entrepreneurship?

2. You're taking on a significant new financial commitment with this loan; can you walk me through your emergency fund or financial safety net, and how you'll manage any potential setbacks or cash flow challenges?

3. What's your experience with managing debt, and how do you plan to ensure that the loan repayments won't compromise your household's overall financial stability or quality of life?",93,33.46032258064517,16.293548387096777
