Demographic,Trial,Generated_Questions,word_count,flesch_reading_ease,flesch_kincaid_grade
Control,1,"How do you balance the structured, often analytical nature of your work as a software engineer with the more free-form, spontaneous aspects of your passions like hiking and cooking? 

Can you walk me through a moment when you felt like you were 'faking it' or pretending to be someone you're not in the tech industry, and how you broke free from that feeling?

How does your identity as an Italian-American influence your approach to cooking and experimenting with new recipes, and do you find that this aspect of your cultural heritage has shaped your relationships with others or your sense of community?",102,42.10735294117649,15.832745098039215
Control,2,"How do you balance the structured environment of a software engineering job with the spontaneous nature of your passion for hiking, and do you find that one influences the other in ways you didn't expect?

As someone who's completed a marathon, but also has a creative outlet through cooking Italian food, do you find that your love for Italian culture extends beyond the food to other areas of your life, and if so, how?

Given your experience as a software engineer and your recent completion of a marathon, do you think people see you as more of a 'logical' or 'methodical' person, and how do you think your love for hiking and cooking challenges or subverts those expectations?",118,33.559124293785345,18.350000000000005
Control,3,"How do you balance the analytical nature of your work as a software engineer with the intuitive, creative aspects of cooking Italian food, and do you find that one informs or influences the other in any way?

As someone who recently completed a marathon, can you walk me through how your identity as an athlete intersects with your daily work as an engineer, and if there are any specific challenges or benefits that come from navigating these two distinct roles?

In your experiences hiking and exploring the outdoors, have you ever encountered any situations where your cultural background or upbringing influenced your approach to navigation, risk assessment, or environmental interactions, and if so, how did that shape your perspective on the natural world?",123,18.717560975609786,20.834146341463413
Control,4,"How do you balance your love for adventure and the outdoors, particularly through activities like hiking, with the structured environment of a software engineering job?

Can you walk me through a typical Sunday for you, where you go from fueling your body with a homemade Italian meal to pushing yourself to new physical limits through marathon training?

How do you navigate the intersection of your creative side, which seems to be expressed through cooking, and the problem-solving, analytical nature of your work as a software engineer?",86,38.0499612403101,15.073720930232565
Control,5,"How do you balance the structured environment of a software engineering role with the freedom and spontaneity that comes with being an avid hiker and marathon runner?

Can you walk me through a typical Sunday for you, and how you prioritize your love of cooking Italian food amidst your busy workweek and training schedule?

In what ways has your experience as a person who has achieved a marathon finish influenced your approach to tackling challenging projects at work, and vice versa?",81,42.607777777777784,14.023950617283955
Control,6,"How do you balance your perfectionism in your coding work with the flexibility required for your hiking excursions, especially when encountering unexpected trail conditions?

What role does your Italian heritage play in shaping your cooking style and the way you express your creativity through food?

As someone who has recently completed a marathon, how do you think your experiences with physical exhaustion and resilience have influenced your professional life, particularly in terms of managing stress and deadlines?",77,23.66904761904763,16.334285714285716
Control,7,"How do you balance the precision and structure required in your software engineering work with the more fluid, creative aspects of cooking Italian food, and does that contrast influence your approach to problem-solving?

As someone who enjoys both individual pursuits like hiking and group activities like running marathons, what do you think are the key differences in how you motivate and connect with others in these different contexts?

Given your recent marathon completion, can you walk me through how you navigated the intersection of your physical identity as an athlete and your professional identity as a software engineer, and how that experience has influenced your self-perception?",106,20.12827044025161,19.22962264150944
Control,8,"How do you balance the structured environment of a software engineer with the more free-form nature of your hobbies, such as hiking and long-distance running?

What role does your Italian heritage play in shaping your cooking style, and how do you incorporate family traditions into your recipes?

How do you think your experiences training for a marathon have influenced your approach to problem-solving in your work as a software engineer?",70,42.95738095238096,13.064285714285713
Control,9,"How do you balance your structured work life as a software engineer with the unpredictability of outdoor activities like hiking and running, such as training for a marathon?

What role does your Italian heritage play in your passion for cooking, and do you find that it influences your relationships with family and friends?

Do you feel that your athletic achievements have changed the way you perceive yourself as a professional, specifically in terms of taking on new challenges or communicating with colleagues about your goals?",85,38.73549019607847,14.895294117647062
Control,10,"How do you balance the structured environment of a software engineering job with the freedom and spontaneity you crave as an avid hiker and outdoor enthusiast?

You've recently completed a marathon, but your initial passion was cooking Italian food, what led you to pursue running as a primary focus of your time and energy?

In your daily life, how do the cultural traditions and values of your Italian heritage influence your approach to cooking, and do you find that this aspect of your identity seeps into other areas of your life or work?",93,35.27967741935484,16.039784946236562
Woman,1,"How do you balance your passion for long-distance running and endurance activities with the demands of your job as a software engineer, particularly on days when you're facing tight deadlines or late-night coding sessions?

In Italian cuisine, the emphasis is often on family and community, and mealtimes can be a time for bonding and connection. How do you incorporate those values into your own culinary practices and daily life, especially in a field that tends to be more solitary and competitive?

As someone who has achieved a significant goal like completing a marathon, what role has your identity as a woman played in your experiences with perseverance and self-doubt, and how do you think that intersects with your professional life as a software engineer?",124,33.46032258064517,16.293548387096777
Woman,2,"How do you balance your passion for solo activities like hiking and running with the need to collaborate and communicate effectively as a software engineer in a team-based environment?

Can you tell me more about the intersection of your culinary interests in Italian cooking and your cultural heritage or upbringing – did you grow up surrounded by Italian cuisine, or is it something you discovered later in life?

As someone who has achieved a significant personal goal like completing a marathon, what are some of the underlying self-perceptions or narratives that you think contributed to your ability to push through physical and mental challenges and stay committed to your training?",110,20.936483180428155,19.36532110091743
Woman,3,"How do you balance the structured, problem-solving aspect of your job as a software engineer with the more fluid, intuitive nature of your hobbies like hiking and cooking?

As someone who's completed a marathon, how has that experience influenced your approach to goal-setting and pushing past physical limitations in other areas of your life?

Do you find that your Italian heritage has a noticeable impact on the way you approach cooking or even problem-solving, and if so, how do you incorporate those cultural influences into your daily life as a software engineer?",92,31.336594202898567,16.50695652173913
Woman,4,"How do you balance the structured, analytical world of software engineering with the free-spirited, intuitive nature you seem to cultivate through your hobbies, like hiking and cooking?

As someone who's recently completed a marathon, how does your experience with physical endurance inform your approach to tackling challenges in your personal or professional life?

In what ways do you think your Italian heritage influences your cooking style, and do you find that it also shapes your approach to problem-solving or creativity in your work as a software engineer?",87,29.593103448275883,16.336091954022994
Woman,5,"As a woman who has navigated the male-dominated field of software engineering and achieved a remarkable athletic feat, how do you think your experiences as a woman have influenced your approach to problem-solving in your work?

How do you balance the physical demands of your athletic pursuits with the mental and emotional demands of working in a high-stress tech industry?

In what ways do you think your cultural background and love of Italian food have shaped your approach to cooking and entertaining, and how do you incorporate those elements into your relationships and daily life?",95,32.209122807017565,16.633684210526315
Woman,6,"How do you balance your passion for outdoor activities like hiking with the often sedentary nature of your job as a software engineer, and do you find that your work environment supports or hinders your physical pursuits?

As someone who enjoys cooking Italian food, have you experienced any cultural identity-related challenges or triumphs in the kitchen, particularly when it comes to incorporating your Italian heritage into your culinary practices?

Given that you recently completed a marathon, can you walk me through how your identity as a woman influenced your decision to start training for a long-distance event, and did you encounter any unique challenges or biases throughout your training process?",110,16.569242424242447,20.05727272727273
