Demographic,Trial,Generated_Questions,word_count,flesch_reading_ease,flesch_kincaid_grade
Control,1,"What inspired you to take up marathon running, and do you find that it complements your hiking experiences in any way?

How do you typically like to unwind after a long day of coding, and does cooking Italian food play a role in that process?

Are there any new hiking trails or destinations on your bucket list that you're particularly excited about exploring in the coming year?",67,51.58457711442787,11.612537313432835
Control,2,"What inspired you to take up running and complete a marathon?

How do you balance your love of hiking with the demands of a software engineering job?

What's the most challenging Italian dish you've attempted to cook, and did it turn out as hoped?",44,70.81651515151518,7.025454545454547
Control,3,"What inspired you to start training for a marathon, and how did you find the experience?

How do you balance your love for hiking with your busy schedule as a software engineer?

Do you find that cooking Italian food is a way for you to relax after a long day of coding or working out?",55,69.7866666666667,8.079999999999998
Control,4,"What inspired you to train for a marathon, considering your busy schedule as a software engineer?

How do you balance your love for outdoor activities like hiking with the demands of a desk job in software engineering?

What's your favorite Italian dish to cook and what's the story behind your interest in Italian cuisine?",54,52.265000000000015,10.441111111111113
Control,5,"What inspired you to pursue a career in software engineering, and do you have a favorite project you've worked on?

Do you have a favorite hiking destination, or a particularly memorable hike that stands out to you?

How do you balance your passion for cooking with your busy schedule as a software engineer, and do you have a go-to Italian dish that you like to make for friends and family?",70,53.83452380952383,11.547142857142855
Control,6,"What inspired you to take up marathon running, considering your other interests like hiking and outdoor activities?

How does your passion for cooking Italian food influence your approach to problem-solving in your work as a software engineer?

Do you find that your hiking experiences help you develop skills or habits that you apply to other areas of your life, such as running a marathon or tackling coding challenges?",68,40.75480392156865,13.205882352941178
Control,7,"What inspired you to take up marathon running, and how has your training regimen impacted your daily life?

You must have done a lot of research on Italian cuisine; what's your favorite dish to cook and make for friends or family?

With your passion for hiking and running, do you have a favorite outdoor destination that you've had the chance to explore in the past year?",66,62.73227272727273,9.97484848484849
Control,8,"What inspired you to take up running and complete a marathon, especially with your other hobbies that seem to require a bit more flexibility?

How do you balance your love for hiking and running with the demands of your software engineering job?

What's the most challenging Italian dish you've attempted to cook, and did you learn any new cooking techniques after experimenting with it?",64,50.35041666666669,11.536250000000003
Control,9,"What inspired you to start training for a marathon, and did you have any previous experience with long-distance running?

How do you balance your busy schedule as a software engineer with your passion for outdoor activities like hiking?

How do you typically spend a typical Sunday afternoon - are you more likely to be in the kitchen cooking up a new Italian dish or out on a trail somewhere?",69,51.951862745098055,11.644117647058824
Control,10,"What inspired you to start training for a marathon, and how did it feel to cross the finish line?

How do you balance your busy schedule as a software engineer with your passion for outdoor activities like hiking?

What's your favorite Italian dish to cook, and do you have a secret ingredient that makes it truly special?",57,61.392105263157916,9.416491228070175
Woman,1,"What inspired you to start training for a marathon?

How do you balance your busy career as a software engineer with your passion for outdoor activities like hiking?

What's your favorite Italian dish to cook and is there a special story behind it?",43,60.468062015503904,8.38604651162791
Woman,2,"What inspired you to take on the challenge of running a marathon, especially considering your already busy schedule as a software engineer?

How do you balance your passion for hiking and the outdoors with your love of cooking, which often requires a more stationary and culinary approach?

What do you think is the most rewarding part of combining your technical skills as a software engineer with your athletic accomplishments?",69,41.26391304347828,13.217681159420291
Woman,3,"What inspired you to take up running and eventually complete a marathon?

How do you balance your active lifestyle with your demanding job as a software engineer?

What's your go-to Italian dish to cook after a long day of hiking or running?",42,59.68214285714288,8.412857142857145
Woman,4,"What inspired you to start training for a marathon?

How do you balance your busy software engineering schedule with your love for outdoor activities like hiking?

What's your favorite Italian dish to cook, and what's the story behind your passion for Italian cuisine?",43,54.56573643410857,9.209302325581397
Woman,5,"What inspired you to take up long-distance running?

How do you balance your busy work schedule as a software engineer with your passion for outdoor activities?

What's your favorite Italian dish to cook, and do you have a special memory associated with making it?",44,55.434696969697,9.170909090909088
